"ID","Sample","Abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"2bf1dfcdeca6629135f4014f138344ae_order","S00PP-0022",514,"teria","micutes","illi","tobacillales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0012",478,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1_order","S00PP-0015",473,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1_order","S00PP-0006",469,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"012ef658933550c9ae6719455ba247de_order","S00PP-0003",454,"teria","micutes","stridia","illospirales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0007",454,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0025",447,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0018",421,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0030",419,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0024",415,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"012ef658933550c9ae6719455ba247de_order","S00PP-0010",406,"teria","micutes","stridia","illospirales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1_order","S00PP-0020",389,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0006",377,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1_order","S00PP-0023",353,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"2bf1dfcdeca6629135f4014f138344ae_order","S00PP-0013",344,"teria","micutes","illi","tobacillales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0022",340,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0020",334,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"2bf1dfcdeca6629135f4014f138344ae_order","S00PP-0027",323,"teria","micutes","illi","tobacillales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0021",318,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0029",307,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1_order","S00PP-0030",229,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1_order","S00PP-0013",202,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"2bf1dfcdeca6629135f4014f138344ae_order","S00PP-0015",198,"teria","micutes","illi","tobacillales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1_order","S00PP-0022",182,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1_order","S00PP-0027",181,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0019",150,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1_order","S00PP-0019",144,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"abdbe368fbd4c7c608e05ef71713340a_order","S00PP-0010",144,"teria","micutes","stridia","hnospirales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1_order","S00PP-0024",130,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1_order","S00PP-0014",118,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0017",118,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0003",112,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0015",112,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0004",100,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0023",94,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0008",94,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1_order","S00PP-0010",84,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1_order","S00PP-0028",68,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"012ef658933550c9ae6719455ba247de_order","S00PP-0023",64,"teria","micutes","stridia","illospirales",NA,NA
"012ef658933550c9ae6719455ba247de_order","S00PP-0015",60,"teria","micutes","stridia","illospirales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0014",57,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0016",41,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0001",36,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0011",32,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1_order","S00PP-0005",30,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0010",30,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0013",27,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"ef26904830b91caa86a460c041c77fd4_order","S00PP-0017",21,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1_order","S00PP-0029",11,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"ef26904830b91caa86a460c041c77fd4_order","S00PP-0012",8,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales",NA,NA
"ef26904830b91caa86a460c041c77fd4_order","S00PP-0026",8,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1_order","S00PP-0002",7,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"ef26904830b91caa86a460c041c77fd4_order","S00PP-0014",5,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales",NA,NA
"ef26904830b91caa86a460c041c77fd4_order","S00PP-0020",5,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1_order","S00PP-0012",4,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1_order","S00PP-0025",4,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1_order","S00PP-0016",4,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"ef26904830b91caa86a460c041c77fd4_order","S00PP-0013",4,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales",NA,NA
"ef26904830b91caa86a460c041c77fd4_order","S00PP-0019",3,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales",NA,NA
"ef26904830b91caa86a460c041c77fd4_order","S00PP-0004",3,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales",NA,NA
"ef26904830b91caa86a460c041c77fd4_order","S00PP-0025",2,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1_order","S00PP-0026",0,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1_order","S00PP-0003",0,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1_order","S00PP-0004",0,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1_order","S00PP-0017",0,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"ef26904830b91caa86a460c041c77fd4_order","S00PP-0002",0,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales",NA,NA
"ef26904830b91caa86a460c041c77fd4_order","S00PP-0001",0,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales",NA,NA
"ef26904830b91caa86a460c041c77fd4_order","S00PP-0003",0,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales",NA,NA
"ef26904830b91caa86a460c041c77fd4_order","S00PP-0008",0,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales",NA,NA
"ef26904830b91caa86a460c041c77fd4_order","S00PP-0007",0,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales",NA,NA
"ef26904830b91caa86a460c041c77fd4_order","S00PP-0009",0,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales",NA,NA
"ef26904830b91caa86a460c041c77fd4_order","S00PP-0024",0,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales",NA,NA
"ef26904830b91caa86a460c041c77fd4_order","S00PP-0027",0,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales",NA,NA
"ef26904830b91caa86a460c041c77fd4_order","S00PP-0010",0,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales",NA,NA
"ef26904830b91caa86a460c041c77fd4_order","S00PP-0023",0,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales",NA,NA
